condition,seed,regime,request_count,bandwidth_multiplier,link_capacity_mb_s,candidate_count,candidate_radius,proposed_shift,proposed_partition,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,gain_over_joint_compute_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,candidate_probe_count,probe_order,method_evaluator_calls,method_runtime_s,all_sampled_monotonic,no_right_censoring
bandwidth_1x,0,prefill_constrained,133,1.0,1250.0,9,4,-2,8-12-8-12-8-12-8-12,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,0.0,True,True,True,True,4,"-1,0,1,-2",36,5.664487,True,True
bandwidth_1x,1,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.023438,0.023438,-2,0.023438,0.042969,-4,0.545463,45.453699,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.482518,True,True
bandwidth_1x,1,prefill_constrained,133,1.0,1250.0,9,4,-2,8-12-8-12-8-12-8-12,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,0.0,True,True,True,True,4,"-1,0,1,-2",36,5.156933,True,True
bandwidth_1x,2,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.027344,0.027344,-2,0.027344,0.054688,-4,0.5,50.0,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.552849,True,True
bandwidth_1x,2,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.398438,0.390625,-2,0.257812,0.488281,3,0.816001,18.399856,2.000128,54.545948,False,False,True,True,4,"-1,0,1,2",32,2.425453,True,True
bandwidth_1x,3,decode_constrained,133,1.0,1250.0,9,4,-1,9-11-9-11-9-11-9-11,0.03125,0.027344,-2,0.03125,0.046875,-4,0.666667,33.333333,14.284669,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.49118,True,True
bandwidth_1x,3,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,4.098522,True,True,True,True,4,"-1,0,1,2",32,6.032952,True,True
bandwidth_1x,7,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.03125,0.03125,-2,0.03125,0.054688,-4,0.571423,42.857665,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.37419,True,True
bandwidth_1x,7,prefill_constrained,133,1.0,1250.0,9,4,-1,9-11-9-11-9-11-9-11,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,3.00752,True,True,True,True,4,"-1,0,1,-2",36,4.264443,True,True
bandwidth_1x,19,decode_constrained,133,1.0,1250.0,9,4,-1,9-11-9-11-9-11-9-11,0.023438,0.019531,-2,0.023438,0.03125,-4,0.750016,24.9984,20.004096,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.477925,True,True
bandwidth_1x,19,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.597656,0.574219,-2,0.574219,0.597656,1,1.0,0.0,4.081544,4.081544,True,True,True,True,4,"-1,0,1,2",36,5.044065,True,True
bandwidth_2x,0,decode_constrained,133,2.0,2500.0,9,4,-1,9-11-9-11-9-11-9-11,0.039062,0.03125,-2,0.039062,0.054688,-4,0.71427,28.572996,24.9984,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.514666,True,True
bandwidth_2x,0,prefill_constrained,133,2.0,2500.0,9,4,-1,9-11-9-11-9-11-9-11,0.691406,0.675781,-2,0.675781,0.691406,-1,1.0,0.0,2.31214,2.31214,True,True,True,True,4,"-1,0,1,-2",36,6.774116,True,True
bandwidth_2x,1,decode_constrained,133,2.0,2500.0,9,4,-1,9-11-9-11-9-11-9-11,0.046875,0.039062,-2,0.046875,0.09375,-4,0.5,50.0,20.001536,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.631089,True,True
bandwidth_2x,1,prefill_constrained,133,2.0,2500.0,9,4,0,10-10-10-10-10-10-10-10,0.941406,0.941406,-2,0.769531,0.941406,0,1.0,0.0,0.0,22.335033,True,True,True,True,3,"-1,0,1",27,6.37054,True,True
bandwidth_2x,2,decode_constrained,133,2.0,2500.0,9,4,-2,8-12-8-12-8-12-8-12,0.074219,0.050781,-2,0.074219,0.089844,"-4,-3",0.826087,17.391256,46.155058,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.769501,True,True
bandwidth_2x,2,prefill_constrained,133,2.0,2500.0,9,4,0,10-10-10-10-10-10-10-10,0.675781,0.675781,-2,0.601562,0.675781,0,1.0,0.0,0.0,12.337714,True,True,True,True,3,"-1,0,1",27,3.300884,True,True
bandwidth_2x,3,decode_constrained,133,2.0,2500.0,9,4,-2,8-12-8-12-8-12-8-12,0.058594,0.042969,-2,0.058594,0.105469,"-4,-3",0.555557,44.444339,36.363425,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.819778,True,True
bandwidth_2x,3,prefill_constrained,133,2.0,2500.0,9,4,0,10-10-10-10-10-10-10-10,0.566406,0.566406,-2,0.554688,0.566406,"-3,0,1",1.0,0.0,0.0,2.112539,True,True,True,True,4,"-1,0,1,2",36,8.026345,True,True
bandwidth_2x,7,decode_constrained,133,2.0,2500.0,9,4,-1,9-11-9-11-9-11-9-11,0.070312,0.050781,-2,0.070312,0.097656,"-4,-3",0.719997,28.000328,38.461236,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.751601,True,True
bandwidth_2x,7,prefill_constrained,133,2.0,2500.0,9,4,-1,9-11-9-11-9-11-9-11,0.671875,0.65625,-2,0.613281,0.671875,-1,1.0,0.0,2.380952,9.554185,True,True,True,True,4,"-1,0,1,-2",36,5.545986,True,True
bandwidth_2x,19,decode_constrained,133,2.0,2500.0,9,4,-1,9-11-9-11-9-11-9-11,0.039062,0.027344,-2,0.039062,0.066406,-4,0.58823,41.177002,42.854008,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.65105,True,True
bandwidth_2x,19,prefill_constrained,133,2.0,2500.0,9,4,-1,9-11-9-11-9-11-9-11,0.75,0.734375,-2,0.738281,0.75,-1,1.0,0.0,2.12766,1.587336,True,True,True,True,4,"-1,0,1,-2",36,7.607943,True,True
